"SAMPLE.VALUE","SAMPLE.COUNT","MEAN.VALUE","MEAN.COUNT","ANOM.VALUE","MIN.VALUE","MAX.VALUE","lon","lat","prec","Rice yield"
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.3499984741211,0.10290653,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.4500007629395,0.100365795,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.5499992370605,0.09861309,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.6500015258789,0.094878346,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.75,0.093186654,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.8499984741211,0.08567172,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,33.9500007629395,0.08192945,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.0499992370605,0.08159387,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.1500015258789,0.076485015,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.25,0.0699695,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.3499984741211,0.06411788,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.4500007629395,0.05752738,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.5499992370605,0.05305681,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.6500015258789,0.050544232,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.75,0.048839025,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.8499984741211,0.045426697,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,34.9500007629395,0.042726878,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,114.95,35.0499992370605,0.042580668,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,29.9500007629395,0.23068003,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.0499992370605,0.21779548,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.1499996185303,0.21015652,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.25,0.2104202,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.3500003814697,0.21456489,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.4500007629395,0.23357274,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.5499992370605,0.23111157,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.6499996185303,0.21651356,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.75,0.21144317,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.8500003814697,0.21500632,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,30.9500007629395,0.2030068,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.0499992370605,0.20502292,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.1499996185303,0.20317608,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.25,0.2007747,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.3500003814697,0.2023993,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.4500007629395,0.19989355,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.5499992370605,0.19246787,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.6499996185303,0.1966235,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.75,0.19939297,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.8500003814697,0.21555164,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,31.9500007629395,0.22451428,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,32.0499992370605,0.21560329,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,32.1500015258789,0.20748161,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,32.25,0.20237908,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,32.3499984741211,0.19612025,2093.745614
0.29325,438658.25,0.27,724307.75,0.02325,0.2085,0.36725,115.05,32.4500007629395,0.19263144,2093.745614
