GLAM Project,,,,,,,,,,
NASA/GSFC/GIMMS,,,,,,,,,,
USDA/FAS/IPAD,,,,,,,,,,
Created on 2022-04-21 04:51:17 UTC,,,,,,,,,,
,,,,,,,,,,
DB VERSION,v9,,,,,,,,,
SAT,Terra AM,,,,,,,,,
PRODUCT,MODIS NDVI 8-day,,,,,,,,,
MEAN,2001-2018,,,,,,,,,
MASK,GDA-CropID-China_2021_Rice,,,,,,,,,
SHAPE,ADM,,,,,,,,,
ID(s),28585,,,,,,,,,
MAX SAMPLE COUNT,760770,,,,,,,,,
,,,,,,,,,,
ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2002-209,7/28/2002,8/4/2002,STD,0.826,709379,0.835,756384,-0.009,0.78,0.867
2002-217,8/5/2002,8/12/2002,STD,0.814,671227,0.833,756384,-0.019,0.803,0.86
2002-225,8/13/2002,8/20/2002,STD,0.805,520957,0.812,756384,-0.007,0.744,0.837
2002-233,8/21/2002,8/28/2002,STD,0.776,559150,0.775,756384,0.001,0.737,0.815
2002-241,8/29/2002,9/5/2002,STD,0.747,754893,0.728,756385,0.019,0.693,0.772
2002-249,9/6/2002,9/13/2002,STD,0.684,715292,0.664,756385,0.02,0.632,0.722
2002-257,9/14/2002,9/21/2002,STD,0.587,693702,0.584,756385,0.003,0.531,0.654
2002-265,9/22/2002,9/29/2002,STD,0.516,729485,0.514,756294,0.002,0.419,0.568
2002-273,9/30/2002,10/7/2002,STD,0.404,599975,0.427,756384,-0.023,0.341,0.518
2002-281,10/8/2002,10/15/2002,STD,0.333,722475,0.351,755733,-0.018,0.289,0.442
2002-289,10/16/2002,10/23/2002,STD,0.271,655731,0.29,755382,-0.019,0.266,0.334
2002-297,10/24/2002,10/31/2002,STD,0.252,506391,0.26,755715,-0.008,0.245,0.301
2002-305,11/1/2002,11/8/2002,STD,0.238,450802,0.25,755692,-0.012,0.233,0.279
2002-313,11/9/2002,11/16/2002,STD,0.23,351658,0.243,755855,-0.013,0.226,0.268
2002-321,11/17/2002,11/24/2002,STD,0.226,187817,0.242,755788,-0.016,0.209,0.29
2002-329,11/25/2002,12/2/2002,STD,0.259,158381,0.248,754820,0.011,0.215,0.293
2002-337,12/3/2002,12/10/2002,STD,0.235,247081,0.249,751599,-0.014,0.21,0.312
2002-345,12/11/2002,12/18/2002,STD,0.212,258823,0.264,652383,-0.052,0.212,0.316
2002-353,12/19/2002,12/26/2002,STD,0.282,77919,0.27,645790,0.012,0.221,0.36
2002-361,12/27/2002,1/3/2003,STD,0.288,180776,0.282,470816,0.006,0.172,0.362
2003-001,1/1/2003,1/8/2003,STD,0.265,173526,0.281,380225,-0.016,0.204,0.466
2003-009,1/9/2003,1/16/2003,STD,0.228,137157,0.288,372891,-0.06,0.207,0.371
2003-017,1/17/2003,1/24/2003,STD,0.228,209308,0.271,430377,-0.043,0.155,0.349
2003-025,1/25/2003,2/1/2003,STD,0.276,191140,0.261,471734,0.015,0.202,0.396
2003-033,2/2/2003,2/9/2003,STD,0.256,241159,0.247,436303,0.009,0.161,0.375
2003-041,2/10/2003,2/17/2003,STD,0.2,194821,0.261,443823,-0.061,0.151,0.383
2003-049,2/18/2003,2/25/2003,STD,0.239,294521,0.273,520937,-0.034,0.198,0.369
2003-057,2/26/2003,3/5/2003,STD,0.18,263871,0.259,643239,-0.079,0.18,0.373
2003-065,3/6/2003,3/13/2003,STD,0.233,478692,0.279,742029,-0.046,0.217,0.364
2003-073,3/14/2003,3/21/2003,STD,0.248,638075,0.267,755847,-0.019,0.233,0.403
2003-081,3/22/2003,3/29/2003,STD,0.259,700394,0.275,756116,-0.016,0.204,0.329
2003-089,3/30/2003,4/6/2003,STD,0.274,705101,0.279,756336,-0.005,0.255,0.314
2003-097,4/7/2003,4/14/2003,STD,0.266,680601,0.282,756381,-0.016,0.236,0.314
2003-105,4/15/2003,4/22/2003,STD,0.284,720266,0.285,756337,-0.001,0.243,0.312
2003-113,4/23/2003,4/30/2003,STD,0.299,710699,0.299,756380,0,0.233,0.338
2003-121,5/1/2003,5/8/2003,STD,0.311,610944,0.298,756163,0.013,0.259,0.328
2003-129,5/9/2003,5/16/2003,STD,0.305,642411,0.298,756364,0.007,0.276,0.313
2003-137,5/17/2003,5/24/2003,STD,0.277,632046,0.303,756382,-0.026,0.277,0.334
2003-145,5/25/2003,6/1/2003,STD,0.315,729179,0.306,756384,0.009,0.27,0.334
2003-153,6/2/2003,6/9/2003,STD,0.301,709849,0.331,756367,-0.03,0.299,0.375
2003-161,6/10/2003,6/17/2003,STD,0.381,674370,0.394,756372,-0.013,0.342,0.484
2003-169,6/18/2003,6/25/2003,STD,0.449,685266,0.51,756340,-0.061,0.449,0.606
2003-177,6/26/2003,7/3/2003,STD,0.565,572480,0.629,756171,-0.064,0.549,0.761
2003-185,7/4/2003,7/11/2003,STD,0.658,580422,0.724,756381,-0.066,0.634,0.82
2003-193,7/12/2003,7/19/2003,STD,0.717,584187,0.786,756384,-0.069,0.687,0.853
2003-201,7/20/2003,7/27/2003,STD,0.739,425239,0.82,756385,-0.081,0.739,0.87
2003-209,7/28/2003,8/4/2003,STD,0.793,518372,0.835,756384,-0.042,0.78,0.867
2003-217,8/5/2003,8/12/2003,STD,0.803,577320,0.833,756384,-0.03,0.803,0.86
2003-225,8/13/2003,8/20/2003,STD,0.808,557908,0.812,756384,-0.004,0.744,0.837
2003-233,8/21/2003,8/28/2003,STD,0.781,727703,0.775,756384,0.006,0.737,0.815
2003-241,8/29/2003,9/5/2003,STD,0.745,683610,0.728,756385,0.017,0.693,0.772
2003-249,9/6/2003,9/13/2003,STD,0.68,709862,0.664,756385,0.016,0.632,0.722
2003-257,9/14/2003,9/21/2003,STD,0.597,702763,0.584,756385,0.013,0.531,0.654
2003-265,9/22/2003,9/29/2003,STD,0.506,730900,0.514,756294,-0.008,0.419,0.568
2003-273,9/30/2003,10/7/2003,STD,0.419,688627,0.427,756384,-0.008,0.341,0.518
2003-281,10/8/2003,10/15/2003,STD,0.354,651745,0.351,755733,0.003,0.289,0.442
2003-289,10/16/2003,10/23/2003,STD,0.305,721867,0.29,755382,0.015,0.266,0.334
2003-297,10/24/2003,10/31/2003,STD,0.263,703346,0.26,755715,0.003,0.245,0.301
2003-305,11/1/2003,11/8/2003,STD,0.238,593074,0.25,755692,-0.012,0.233,0.279
2003-313,11/9/2003,11/16/2003,STD,0.238,584054,0.243,755855,-0.005,0.226,0.268
2003-321,11/17/2003,11/24/2003,STD,0.233,624512,0.242,755788,-0.009,0.209,0.29
2003-329,11/25/2003,12/2/2003,STD,0.269,161547,0.248,754820,0.021,0.215,0.293
2003-337,12/3/2003,12/10/2003,STD,0.272,200404,0.249,751599,0.023,0.21,0.312
2003-345,12/11/2003,12/18/2003,STD,0.294,182733,0.264,652383,0.03,0.212,0.316
2003-353,12/19/2003,12/26/2003,STD,0.268,167988,0.27,645790,-0.002,0.221,0.36
2003-361,12/27/2003,1/3/2004,STD,0.241,154316,0.282,470816,-0.041,0.172,0.362
2004-001,1/1/2004,1/8/2004,STD,0.239,176070,0.281,380225,-0.042,0.204,0.466
2004-009,1/9/2004,1/16/2004,STD,0.279,204932,0.288,372891,-0.009,0.207,0.371
2004-017,1/17/2004,1/24/2004,STD,0.273,225584,0.271,430377,0.002,0.155,0.349
2004-025,1/25/2004,2/1/2004,STD,0.244,179009,0.261,471734,-0.017,0.202,0.396
2004-033,2/2/2004,2/9/2004,STD,0.25,192638,0.247,436303,0.003,0.161,0.375
2004-041,2/10/2004,2/17/2004,STD,0.242,220638,0.261,443823,-0.019,0.151,0.383
2004-049,2/18/2004,2/25/2004,STD,0.274,182615,0.273,520937,0.001,0.198,0.369
2004-057,2/26/2004,3/4/2004,STD,0.279,292263,0.259,643239,0.02,0.18,0.373
2004-065,3/5/2004,3/12/2004,STD,0.254,440338,0.279,742029,-0.025,0.217,0.364
2004-073,3/13/2004,3/20/2004,STD,0.248,482287,0.267,755847,-0.019,0.233,0.403
2004-081,3/21/2004,3/28/2004,STD,0.257,551335,0.275,756116,-0.018,0.204,0.329
2004-089,3/29/2004,4/5/2004,STD,0.27,647607,0.279,756336,-0.009,0.255,0.314
2004-097,4/6/2004,4/13/2004,STD,0.284,696507,0.282,756381,0.002,0.236,0.314
2004-105,4/14/2004,4/21/2004,STD,0.29,696436,0.285,756337,0.005,0.243,0.312
2004-113,4/22/2004,4/29/2004,STD,0.296,723072,0.299,756380,-0.003,0.233,0.338
2004-121,4/30/2004,5/7/2004,STD,0.281,724763,0.298,756163,-0.017,0.259,0.328
2004-129,5/8/2004,5/15/2004,STD,0.295,721074,0.298,756364,-0.003,0.276,0.313
2004-137,5/16/2004,5/23/2004,STD,0.295,677093,0.303,756382,-0.008,0.277,0.334
2004-145,5/24/2004,5/31/2004,STD,0.3,715074,0.306,756384,-0.006,0.27,0.334
2004-153,6/1/2004,6/8/2004,STD,0.325,722862,0.331,756367,-0.006,0.299,0.375
2004-161,6/9/2004,6/16/2004,STD,0.342,747039,0.394,756372,-0.052,0.342,0.484
2004-169,6/17/2004,6/24/2004,STD,0.46,634956,0.51,756340,-0.05,0.449,0.606
2004-177,6/25/2004,7/2/2004,STD,0.553,634773,0.629,756171,-0.076,0.549,0.761
2004-185,7/3/2004,7/10/2004,STD,0.677,424400,0.724,756381,-0.047,0.634,0.82
2004-193,7/11/2004,7/18/2004,STD,0.747,558506,0.786,756384,-0.039,0.687,0.853
2004-201,7/19/2004,7/26/2004,STD,0.8,748703,0.82,756385,-0.02,0.739,0.87
2004-209,7/27/2004,8/3/2004,STD,0.816,649964,0.835,756384,-0.019,0.78,0.867
2004-217,8/4/2004,8/11/2004,STD,0.828,685301,0.833,756384,-0.005,0.803,0.86
2004-225,8/12/2004,8/19/2004,STD,0.804,729467,0.812,756384,-0.008,0.744,0.837
2004-233,8/20/2004,8/27/2004,STD,0.773,653675,0.775,756384,-0.002,0.737,0.815
2004-241,8/28/2004,9/4/2004,STD,0.738,589589,0.728,756385,0.01,0.693,0.772
2004-249,9/5/2004,9/12/2004,STD,0.653,714996,0.664,756385,-0.011,0.632,0.722
2004-257,9/13/2004,9/20/2004,STD,0.58,677649,0.584,756385,-0.004,0.531,0.654
2004-265,9/21/2004,9/28/2004,STD,0.502,704549,0.514,756294,-0.012,0.419,0.568
2004-273,9/29/2004,10/6/2004,STD,0.397,743878,0.427,756384,-0.03,0.341,0.518
2004-281,10/7/2004,10/14/2004,STD,0.313,687791,0.351,755733,-0.038,0.289,0.442
2004-289,10/15/2004,10/22/2004,STD,0.28,712625,0.29,755382,-0.01,0.266,0.334
2004-297,10/23/2004,10/30/2004,STD,0.25,685342,0.26,755715,-0.01,0.245,0.301
2004-305,10/31/2004,11/7/2004,STD,0.254,434465,0.25,755692,0.004,0.233,0.279
2004-313,11/8/2004,11/15/2004,STD,0.241,573615,0.243,755855,-0.002,0.226,0.268
2004-321,11/16/2004,11/23/2004,STD,0.251,611021,0.242,755788,0.009,0.209,0.29
2004-329,11/24/2004,12/1/2004,STD,0.25,694155,0.248,754820,0.002,0.215,0.293
2004-337,12/2/2004,12/9/2004,STD,0.232,589640,0.249,751599,-0.017,0.21,0.312
2004-345,12/10/2004,12/17/2004,STD,0.241,117936,0.264,652383,-0.023,0.212,0.316
2004-353,12/18/2004,12/25/2004,STD,0.36,72863,0.27,645790,0.09,0.221,0.36
2004-361,12/26/2004,1/2/2005,STD,0.362,108248,0.282,470816,0.08,0.172,0.362
2005-001,1/1/2005,1/8/2005,STD,0.395,152028,0.281,380225,0.114,0.204,0.466
2005-009,1/9/2005,1/16/2005,STD,0.371,133400,0.288,372891,0.083,0.207,0.371
2005-017,1/17/2005,1/24/2005,STD,0.349,150392,0.271,430377,0.078,0.155,0.349
2005-025,1/25/2005,2/1/2005,STD,0.305,92852,0.261,471734,0.044,0.202,0.396
2005-033,2/2/2005,2/9/2005,STD,0.32,77802,0.247,436303,0.073,0.161,0.375
2005-041,2/10/2005,2/17/2005,STD,0.298,73813,0.261,443823,0.037,0.151,0.383
2005-049,2/18/2005,2/25/2005,STD,0.339,204416,0.273,520937,0.066,0.198,0.369
2005-057,2/26/2005,3/5/2005,STD,0.304,229009,0.259,643239,0.045,0.18,0.373
2005-065,3/6/2005,3/13/2005,STD,0.288,341359,0.279,742029,0.009,0.217,0.364
2005-073,3/14/2005,3/21/2005,STD,0.262,573510,0.267,755847,-0.005,0.233,0.403
2005-081,3/22/2005,3/29/2005,STD,0.268,642693,0.275,756116,-0.007,0.204,0.329
2005-089,3/30/2005,4/6/2005,STD,0.277,641585,0.279,756336,-0.002,0.255,0.314
2005-097,4/7/2005,4/14/2005,STD,0.297,648833,0.282,756381,0.015,0.236,0.314
2005-105,4/15/2005,4/22/2005,STD,0.305,595791,0.285,756337,0.02,0.243,0.312
2005-113,4/23/2005,4/30/2005,STD,0.311,665714,0.299,756380,0.012,0.233,0.338
2005-121,5/1/2005,5/8/2005,STD,0.324,554015,0.298,756163,0.026,0.259,0.328
2005-129,5/9/2005,5/16/2005,STD,0.313,667487,0.298,756364,0.015,0.276,0.313
2005-137,5/17/2005,5/24/2005,STD,0.311,684093,0.303,756382,0.008,0.277,0.334
2005-145,5/25/2005,6/1/2005,STD,0.31,717876,0.306,756384,0.004,0.27,0.334
2005-153,6/2/2005,6/9/2005,STD,0.331,709411,0.331,756367,0,0.299,0.375
2005-161,6/10/2005,6/17/2005,STD,0.382,684888,0.394,756372,-0.012,0.342,0.484
2005-169,6/18/2005,6/25/2005,STD,0.484,719439,0.51,756340,-0.026,0.449,0.606
2005-177,6/26/2005,7/3/2005,STD,0.592,639628,0.629,756171,-0.037,0.549,0.761
2005-185,7/4/2005,7/11/2005,STD,0.728,461911,0.724,756381,0.004,0.634,0.82
2005-193,7/12/2005,7/19/2005,STD,0.76,657637,0.786,756384,-0.026,0.687,0.853
2005-201,7/20/2005,7/27/2005,STD,0.818,409125,0.82,756385,-0.002,0.739,0.87
2005-209,7/28/2005,8/4/2005,STD,0.821,256460,0.835,756384,-0.014,0.78,0.867
2005-217,8/5/2005,8/12/2005,STD,0.831,645948,0.833,756384,-0.002,0.803,0.86
2005-225,8/13/2005,8/20/2005,STD,0.811,745112,0.812,756384,-0.001,0.744,0.837
2005-233,8/21/2005,8/28/2005,STD,0.78,655643,0.775,756384,0.005,0.737,0.815
2005-241,8/29/2005,9/5/2005,STD,0.72,640494,0.728,756385,-0.008,0.693,0.772
